food_name,carbs,protein,sugar
"applebee's, 9 oz house sirloin steak",0.0,26.85,0.0
"applebee's, double crunch shrimp",25.96,12.31,1.07
"applebee's, kraft, macaroni & cheese, from kid's menu",21.08,5.01,3.7
"applebee's, chicken tenders platter",17.98,19.62,0.36
"applebee's, chicken tenders, from kids' menu",18.36,19.25,0.39
"applebee's, chili",4.57,12.56,2.27
"applebee's, coleslaw",13.17,0.79,9.33
"applebee's, crunchy onion rings",40.17,4.58,4.48
"applebee's, fish, hand battered",16.65,13.23,0.51
"applebee's, french fries",39.5,3.31,0.0
"applebee's, mozzarella sticks",22.87,14.87,2.8
"arby's, roast beef sandwich, classic",22.21,15.17,3.84
"abiyuch, raw",17.6,1.5,8.55
"acerola juice, raw",4.8,0.4,4.5
"acerola, (west indian cherry), raw",7.69,0.4,0.0
acorn stew (apache),9.22,6.81,0.34
"agave, cooked (southwest)",32.0,0.99,20.87
"agave, dried (southwest)",81.98,1.71,50.7
"agave, raw (southwest)",16.23,0.52,2.58
"agutuk, fish with shortening (alaskan ice cream) (alaska native)",10.5,9.0,0.0
"agutuk, fish/berry with seal oil (alaskan ice cream) (alaska native)",13.4,3.4,0.0
"agutuk, meat-caribou (alaskan ice cream) (alaska native)",0.9,21.7,0.0
"alcoholic beverage, wine, table, red, barbera",2.79,0.07,0.0
"alcoholic beverage, wine, table, red, burgundy",3.69,0.07,0.0
"alcoholic beverage, wine, table, red, cabernet franc",2.45,0.07,0.0
"alcoholic beverage, wine, table, red, cabernet sauvignon",2.6,0.07,0.0
"alcoholic beverage, wine, table, red, carignane",2.4,0.07,0.0
"alcoholic beverage, wine, table, red, claret",3.01,0.07,0.0
"alcoholic beverage, wine, table, red, gamay",2.38,0.07,0.0
"alcoholic beverage, wine, table, red, lemberger",2.46,0.07,0.0
"alcoholic beverage, wine, table, red, merlot",2.51,0.07,0.62
"alcoholic beverage, wine, table, red, mouvedre",2.64,0.07,0.0
"alcoholic beverage, wine, table, red, petite sirah",2.68,0.07,0.0
"alcoholic beverage, wine, table, red, pinot noir",2.31,0.07,0.0
"alcoholic beverage, wine, table, red, sangiovese",2.62,0.07,0.0
"alcoholic beverage, wine, table, red, syrah",2.58,0.07,0.0
"alcoholic beverage, wine, table, red, zinfandel",2.86,0.07,0.0
"alcoholic beverage, beer, light",1.64,0.24,0.09
"alcoholic beverage, beer, light, bud light",1.3,0.25,0.0
"alcoholic beverage, beer, light, budweiser select",0.87,0.2,0.0
"alcoholic beverage, beer, light, higher alcohol",0.77,0.25,0.09
"alcoholic beverage, beer, light, low carb",0.73,0.17,0.0
"alcoholic beverage, beer, regular, budweiser",2.97,0.36,0.0
"alcoholic beverage, beer, regular, all",3.55,0.46,0.0
"alcoholic beverage, creme de menthe, 72 proof",41.6,0.0,41.6
"alcoholic beverage, daiquiri, canned",15.7,0.0,0.0
"alcoholic beverage, daiquiri, prepared-from-recipe",6.94,0.06,5.58
